fruit_id,complete_name,complete_volume_ml,gt_latent_mesh_volume_ml,bbox_dx,bbox_dy,bbox_dz
00003,1.ply,19.707299,19.74234577000704,3.3631397485733032,4.116653203964233,3.222676992416382
00011,1.ply,19.707299,19.661058385528595,3.3657244443893433,4.114997863769531,3.2237695455551147
00048,4.ply,17.675679,17.709066535384636,3.288480520248413,3.427632689476013,3.4164340496063232
00057,4.ply,17.675679,17.60765031724528,3.2776044607162476,3.4124832153320312,3.4103100299835205
00065,5.ply,19.241479,19.80729223342988,3.361556887626648,3.6279724836349487,3.596515417098999
00067,5.ply,19.241479,19.75414298211611,3.361673355102539,3.618860602378845,3.5956220626831055
00073,5.ply,19.241479,19.79960848715183,3.361893653869629,3.6394585371017456,3.595259666442871
00093,7.ply,19.50311,19.663883506555273,3.3843377828598022,4.206975817680359,3.2814927101135254
00112,8.ply,19.746473,19.632493206461593,3.306164503097534,4.349039316177368,3.1194528341293335
00117,8.ply,19.746473,19.63802782739614,3.3039050102233887,4.355544447898865,3.1200497150421143
00141,10.ply,19.369625,19.236144721289744,3.0960370302200317,4.2685922384262085,3.25990629196167
00146,10.ply,19.369625,19.235024531616563,3.097196578979492,4.267841339111328,3.2573658227920532
00156,11.ply,19.140148,18.738046343317,3.2338000535964966,3.9292913675308228,3.333286166191101
00161,11.ply,19.140148,18.72109388478411,3.2472022771835327,3.9150161743164062,3.330332398414612
00167,12.ply,15.862979,15.969295672755512,3.0401893854141235,3.6999948024749756,3.065604090690613
00175,12.ply,15.862979,15.959941235075704,3.036466956138611,3.7001253366470337,3.0745925903320312
00214,15.ply,19.049655,19.047235833024857,3.187195301055908,4.4201061725616455,3.1438651084899902
00216,15.ply,19.049655,18.99013212381334,3.177515745162964,4.404179096221924,3.1440361738204956
00217,15.ply,19.049655,19.04364851189805,3.183475136756897,4.41616427898407,3.137376546859741
00224,15.ply,19.049655,19.051404409175866,3.18845796585083,4.4114830493927,3.146799325942993
00234,16.ply,21.322582,20.671282136175595,3.332552671432495,4.336041688919067,3.125696301460266
00252,17.ply,17.449775,17.035352031332575,3.049126148223877,4.073479056358337,3.009352684020996
00257,18.ply,16.835905,16.260606289881945,2.8081140518188477,3.667374014854431,3.5304417610168457
00269,18.ply,16.835905,16.321093353707184,2.8118057250976562,3.677537202835083,3.5320043563842773
00271,19.ply,20.16988,20.014843430149064,3.3828980922698975,3.8499892950057983,3.5495001077651978
00273,19.ply,20.16988,20.064312889081357,3.383944034576416,3.851677656173706,3.550572991371155
00274,19.ply,20.16988,20.040401930382725,3.3877533674240112,3.8498960733413696,3.5494542121887207
00276,19.ply,20.16988,20.018280812597535,3.382556200027466,3.8494253158569336,3.549747943878174
00322,22.ply,21.090828,21.26659738485229,3.6388862133026123,4.311581492424011,3.340044856071472
00323,22.ply,21.090828,21.25388814039448,3.6355979442596436,4.301351547241211,3.344547390937805
00332,23.ply,19.583959,19.430973277782677,3.2833200693130493,4.363961338996887,3.1702311038970947
00363,25.ply,22.747821,22.25022002535396,3.9058008193969727,4.448779821395874,2.911309003829956
00388,26.ply,23.799649,23.02496969755294,3.5178176164627075,4.383347749710083,3.4736732244491577
00390,27.ply,18.03205,17.75057745953859,3.3429417610168457,4.088552355766296,2.89272403717041
00394,27.ply,18.03205,17.72720423391668,3.340279698371887,4.088189005851746,2.8922520875930786
00405,28.ply,17.249897,16.988548015256157,3.193124532699585,4.043429017066956,3.0848701000213623
00408,28.ply,17.249897,17.00441651693365,3.1903915405273438,4.044578194618225,3.0961955785751343
00410,28.ply,17.249897,17.031958006049887,3.199525475502014,4.045463919639587,3.09434974193573
00438,30.ply,23.666883,22.899017148033725,3.710623860359192,4.456507563591003,3.143820881843567
00445,30.ply,23.666883,22.94192924654412,3.7194656133651733,4.461363077163696,3.1402125358581543
00469,32.ply,27.777835,27.160222049521078,3.657067656517029,4.597160816192627,3.546018362045288
00473,32.ply,27.777835,27.242509282240267,3.657059907913208,4.602898836135864,3.5598987340927124
00479,32.ply,27.777835,27.24607133527238,3.656886577606201,4.601598024368286,3.562355637550354
00505,34.ply,28.819735,27.738235420492543,3.626372456550598,4.556164026260376,3.7910685539245605
00511,35.ply,23.533698,23.30439501400179,3.741244912147522,4.183523893356323,3.478245258331299
00512,35.ply,23.533698,23.32646192398505,3.7421988248825073,4.1909109354019165,3.4784685373306274
00521,35.ply,23.533698,23.33386525717416,3.7457000017166138,4.179575443267822,3.479751467704773
00541,37.ply,17.393425,17.594084598391593,3.3208158016204834,3.956978440284729,3.2314000129699707
00546,37.ply,17.393425,17.5848655895113,3.318617582321167,3.9579570293426514,3.22925066947937
00551,37.ply,17.393425,17.62219758540722,3.320170760154724,3.960145354270935,3.236482858657837
00570,39.ply,17.236678,16.985236756951206,3.008482575416565,3.4786559343338013,3.3816845417022705
00572,39.ply,17.236678,17.01655134205159,3.011057734489441,3.482298254966736,3.3812038898468018
00580,39.ply,17.236678,16.98764386281455,3.0087249279022217,3.48282253742218,3.380091905593872
00594,40.ply,22.229742,21.879876721514893,3.968299627304077,4.796501636505127,2.648293972015381
00610,41.ply,30.359418,29.36342179042258,4.483289957046509,4.252427577972412,3.495179295539856
00622,42.ply,21.345432,20.788969664991534,3.8574507236480713,4.088723421096802,2.822668671607971
00623,42.ply,21.345432,20.754420304659295,3.858288526535034,4.075839042663574,2.822802186012268
00628,42.ply,21.345432,20.75183069120053,3.856196403503418,4.086845755577087,2.8208659887313843
00643,43.ply,15.922018,15.68747034625257,3.2093197107315063,3.714500665664673,3.057456374168396
00644,43.ply,15.922018,15.658906750690496,3.20870304107666,3.7106542587280273,3.056795120239258
00645,44.ply,13.930117,12.98984726483008,2.800709366798401,3.449105739593506,3.083292603492737
00662,45.ply,19.120373,18.520636889531946,3.6984734535217285,4.009816408157349,2.819080948829651
00664,45.ply,19.120373,18.502830086875274,3.702366828918457,4.005405068397522,2.8180395364761353
00668,45.ply,19.120373,18.509701136803596,3.7142914533615112,4.026943922042847,2.8086336851119995
00670,45.ply,19.120373,18.54512843849399,3.705078959465027,4.027246594429016,2.8168816566467285
00673,45.ply,19.120373,18.55571982535067,3.722665309906006,4.026544451713562,2.8119925260543823
00674,45.ply,19.120373,18.602236506294823,3.714104413986206,4.0278160572052,2.819126009941101
